type,name,text,x,y,width,height,file
Text,"RoundText","ROUND",62,6,130,66,"Text/Text_RoundText.png"
Text,"RoundNumberText","01",14,74,226,113,"Text/Text_RoundNumberText.png"
Text,"TurnSpeed_0","5",304,130,25,41,"Text/Text_TurnSpeed_0.png"
Text,"TurnSpeed_1","3",413,130,25,41,"Text/Text_TurnSpeed_1.png"
Text,"TurnSpeed_2","7",523,130,23,41,"Text/Text_TurnSpeed_2.png"
Text,"TurnSpeed_3","4",631,130,25,41,"Text/Text_TurnSpeed_3.png"
Text,"TurnSpeed_4","4",740,130,25,41,"Text/Text_TurnSpeed_4.png"
Button,"TurnPageLeft","",267,36,68,68,"Button/Button_TurnPageLeft.png"
Button,"TurnPageRight","",1116,36,68,68,"Button/Button_TurnPageRight.png"
Text,"TurnPageLeftText","0",269,48,64,44,"Text/Text_TurnPageLeftText.png"
Text,"TurnPageRightText","0",1118,48,64,44,"Text/Text_TurnPageRightText.png"
Text,"TurnRoundLabel_0","R1",247,1,116,45,"Text/Text_TurnRoundLabel_0.png"
Text,"TurnRoundLabel_1","R2",356,1,116,45,"Text/Text_TurnRoundLabel_1.png"
Text,"TurnRoundLabel_2","R3",465,1,116,45,"Text/Text_TurnRoundLabel_2.png"
Text,"TurnRoundLabel_3","R4",574,1,116,45,"Text/Text_TurnRoundLabel_3.png"
Text,"TurnRoundLabel_4","R5",683,1,116,45,"Text/Text_TurnRoundLabel_4.png"
Text,"TurnRoundLabel_5","R6",792,1,116,45,"Text/Text_TurnRoundLabel_5.png"
Text,"TurnRoundLabel_6","R7",901,1,116,45,"Text/Text_TurnRoundLabel_6.png"
Text,"TurnRoundLabel_7","R8",1010,1,116,45,"Text/Text_TurnRoundLabel_7.png"
Text,"TurnRoundLabel_8","R9",1119,1,116,45,"Text/Text_TurnRoundLabel_8.png"
Text,"TurnRoundLabel_9","R10",1228,1,116,45,"Text/Text_TurnRoundLabel_9.png"
Button,"TurnTokenButton_0","",245,34,120,156,"Button/Button_TurnTokenButton_0.png"
Button,"TurnTokenButton_1","",354,34,120,156,"Button/Button_TurnTokenButton_1.png"
Button,"TurnTokenButton_2","",463,34,120,156,"Button/Button_TurnTokenButton_2.png"
Button,"TurnTokenButton_3","",572,34,120,156,"Button/Button_TurnTokenButton_3.png"
Button,"TurnTokenButton_4","",681,34,120,156,"Button/Button_TurnTokenButton_4.png"
Button,"TurnTokenButton_5","",790,34,120,156,"Button/Button_TurnTokenButton_5.png"
Button,"TurnTokenButton_6","",899,34,120,156,"Button/Button_TurnTokenButton_6.png"
Button,"TurnTokenButton_7","",1008,34,120,156,"Button/Button_TurnTokenButton_7.png"
Button,"TurnTokenButton_8","",1117,34,120,156,"Button/Button_TurnTokenButton_8.png"
Button,"TurnTokenButton_9","",1226,34,120,156,"Button/Button_TurnTokenButton_9.png"
Text,"MenuEmptyMaskLabel","몬스터",1338,58,79,33,"Text/Text_MenuEmptyMaskLabel.png"
Text,"MenuMercenaryMaskLabel","용병",1264,57,79,34,"Text/Text_MenuMercenaryMaskLabel.png"
Button,"MenuButton_0","",1192,19,154,123,"Button/Button_MenuButton_0.png"
Button,"MenuButton_1","",1268,19,154,123,"Button/Button_MenuButton_1.png"
Button,"MenuButton_2","",1346,19,149,123,"Button/Button_MenuButton_2.png"
Button,"MenuButton_3","",1423,23,75,89,"Button/Button_MenuButton_3.png"
Text,"EnemyAPText","AP 4/4",1237,299,143,43,"Text/Text_EnemyAPText.png"
Text,"EnemyHPText","50/50",1245,247,297,41,"Text/Text_EnemyHPText.png"
Text,"EnemyName","독수리",1174,163,298,66,"Text/Text_EnemyName.png"
Text,"EnemySpeedText","3",1302,347,76,41,"Text/Text_EnemySpeedText.png"
Text,"EnemyStatusCount_0","2",1144,405,37,54,"Text/Text_EnemyStatusCount_0.png"
Text,"EnemyStatusCount_1","2",1230,405,37,54,"Text/Text_EnemyStatusCount_1.png"
Text,"EnemyStatusCount_2","2",1316,405,37,54,"Text/Text_EnemyStatusCount_2.png"
Button,"EnemyStatusButton_0","",1099,388,87,87,"Button/Button_EnemyStatusButton_0.png"
Button,"EnemyStatusButton_1","",1185,388,87,87,"Button/Button_EnemyStatusButton_1.png"
Button,"EnemyStatusButton_2","",1271,388,87,87,"Button/Button_EnemyStatusButton_2.png"
Text,"EnemyCritText","-",1430,302,91,44,"Text/Text_EnemyCritText.png"
Button,"EnemyNextSkillButton","",1448,377,98,98,"Button/Button_EnemyNextSkillButton.png"
Button,"CommandButton_0","",698,0,213,202,"Button/Button_CommandButton_0.png"
Text,"CommandName_0","이동",728,0,153,38,"Text/Text_CommandName_0.png"
Text,"CommandCost_0","1/칸",858,25,59,62,"Text/Text_CommandCost_0.png"
Text,"CommandCooldown_1","0",578,226,58,62,"Text/Text_CommandCooldown_1.png"
Button,"CommandButton_1","",417,104,213,241,"Button/Button_CommandButton_1.png"
Text,"CommandName_1","평타",448,125,153,57,"Text/Text_CommandName_1.png"
Text,"CommandDamage_1","피해 4~7",447,261,153,45,"Text/Text_CommandDamage_1.png"
Text,"CommandCost_1","1",578,169,58,62,"Text/Text_CommandCost_1.png"
Text,"CommandCooldown_2","2",1122,226,59,62,"Text/Text_CommandCooldown_2.png"
Button,"CommandButton_2","",962,104,213,241,"Button/Button_CommandButton_2.png"
Text,"CommandName_2","방패 강타",992,125,153,57,"Text/Text_CommandName_2.png"
Text,"CommandDamage_2","피해 8~14",991,261,153,45,"Text/Text_CommandDamage_2.png"
Text,"CommandCost_2","2",1122,169,59,62,"Text/Text_CommandCost_2.png"
Text,"CommandCooldown_3","0",578,500,58,62,"Text/Text_CommandCooldown_3.png"
Button,"CommandButton_3","",417,379,213,211,"Button/Button_CommandButton_3.png"
Text,"CommandName_3","고정 참격",448,399,153,57,"Text/Text_CommandName_3.png"
Text,"CommandDamage_3","피해 5~9",447,535,153,45,"Text/Text_CommandDamage_3.png"
Text,"CommandCost_3","1",578,443,58,62,"Text/Text_CommandCost_3.png"
Text,"CommandCooldown_4","3",1122,500,59,62,"Text/Text_CommandCooldown_4.png"
Button,"CommandButton_4","",962,379,213,211,"Button/Button_CommandButton_4.png"
