type,name,text,x,y,width,height,file
Text,"HireBackLabel","뒤로",136,529,129,40,"Text/Text_HireBackLabel.png"
Button,"HireBackButton","",120,519,161,71,"Button/Button_HireBackButton.png"
Text,"HireSkill_0_0","방패 강타",226,151,62,19,"Text/Text_HireSkill_0_0.png"
Text,"HireBadge_0","모집 중",291,92,63,25,"Text/Text_HireBadge_0.png"
Text,"HireHP_0","HP 100",224,132,80,22,"Text/Text_HireHP_0.png"
Text,"HireName_0","기사",203,77,162,41,"Text/Text_HireName_0.png"
Text,"HireRole_0","방패 탱커 · 근접",203,116,162,28,"Text/Text_HireRole_0.png"
Button,"HireButton_0","",134,80,242,76,"Button/Button_HireButton_0.png"
Text,"HireSkill_1_0","관통 사격",226,219,62,19,"Text/Text_HireSkill_1_0.png"
Text,"HireBadge_1","모집 중",291,159,63,26,"Text/Text_HireBadge_1.png"
Text,"HireHP_1","HP 80",224,200,80,21,"Text/Text_HireHP_1.png"
Text,"HireName_1","마법사",203,145,162,41,"Text/Text_HireName_1.png"
Text,"HireRole_1","주문 술사 · 원거리",203,184,162,28,"Text/Text_HireRole_1.png"
Button,"HireButton_1","",134,148,242,76,"Button/Button_HireButton_1.png"
Text,"HireSkill_2_0","화염구",226,287,62,19,"Text/Text_HireSkill_2_0.png"
Text,"HireBadge_2","모집 중",291,227,63,26,"Text/Text_HireBadge_2.png"
Text,"HireHP_2","HP 70",224,267,80,22,"Text/Text_HireHP_2.png"
Text,"HireName_2","레인저",203,213,162,41,"Text/Text_HireName_2.png"
Text,"HireRole_2","명사수 · 원거리",203,251,162,29,"Text/Text_HireRole_2.png"
Button,"HireButton_2","",134,215,242,77,"Button/Button_HireButton_2.png"
Text,"HireSkill_3_0","기습",226,355,62,19,"Text/Text_HireSkill_3_0.png"
Text,"HireBadge_3","모집 중",291,295,63,25,"Text/Text_HireBadge_3.png"
Text,"HireHP_3","HP 75",224,335,80,22,"Text/Text_HireHP_3.png"
Text,"HireName_3","도적",203,281,162,40,"Text/Text_HireName_3.png"
Text,"HireRole_3","기습 암살자 · 근접",203,319,162,29,"Text/Text_HireRole_3.png"
Button,"HireButton_3","",134,283,242,76,"Button/Button_HireButton_3.png"
Text,"HireSkill_4_0","치유",226,422,62,19,"Text/Text_HireSkill_4_0.png"
Text,"HireBadge_4","모집 중",291,363,63,25,"Text/Text_HireBadge_4.png"
Text,"HireHP_4","HP 85",224,403,80,22,"Text/Text_HireHP_4.png"
Text,"HireName_4","야만전사",203,348,162,41,"Text/Text_HireName_4.png"
Text,"HireRole_4","광전사 · 근접",203,387,162,28,"Text/Text_HireRole_4.png"
Button,"HireButton_4","",134,351,242,76,"Button/Button_HireButton_4.png"
Text,"HireSkill_5_0","대검 휘두르기",226,490,62,19,"Text/Text_HireSkill_5_0.png"
Text,"HireBadge_5","모집 중",291,430,63,26,"Text/Text_HireBadge_5.png"
Text,"HireHP_5","HP 120",224,470,80,22,"Text/Text_HireHP_5.png"
Text,"HireName_5","드루이드",203,416,162,41,"Text/Text_HireName_5.png"
Text,"HireRole_5","자연 술사 · 지원",203,455,162,28,"Text/Text_HireRole_5.png"
Button,"HireButton_5","",134,419,242,76,"Button/Button_HireButton_5.png"
Text,"HireAddLabel","추가",735,529,130,40,"Text/Text_HireAddLabel.png"
Button,"HireAddButton","",720,519,160,71,"Button/Button_HireAddButton.png"
Text,"HireTitleText","용병 선택",685,0,211,43,"Text/Text_HireTitleText.png"
Text,"HireDetailName","기사",672,319,276,56,"Text/Text_HireDetailName.png"
Text,"HireDetailHP","HP 100",638,398,113,43,"Text/Text_HireDetailHP.png"
Text,"HireDetailAP","AP 7",742,398,114,43,"Text/Text_HireDetailAP.png"
Text,"HireDetailSpeed","SPEED 3",847,398,114,43,"Text/Text_HireDetailSpeed.png"
Text,"HireDetailSkillText_0","평타",609,460,40,35,"Text/Text_HireDetailSkillText_0.png"
Button,"HireDetailSkillButton_0","",592,441,76,77,"Button/Button_HireDetailSkillButton_0.png"
Text,"HireDetailSkillText_1","이동",678,460,40,35,"Text/Text_HireDetailSkillText_1.png"
Button,"HireDetailSkillButton_1","",660,441,77,77,"Button/Button_HireDetailSkillButton_1.png"
Text,"HireDetailSkillText_2","스킬 1",741,460,51,35,"Text/Text_HireDetailSkillText_2.png"
Button,"HireDetailSkillButton_2","",729,441,77,77,"Button/Button_HireDetailSkillButton_2.png"
Text,"HireDetailSkillText_3","스킬 2",809,460,53,35,"Text/Text_HireDetailSkillText_3.png"
Button,"HireDetailSkillButton_3","",798,441,77,77,"Button/Button_HireDetailSkillButton_3.png"
Text,"HireDetailSkillText_4","스킬 3",878,460,53,35,"Text/Text_HireDetailSkillText_4.png"
Button,"HireDetailSkillButton_4","",867,441,76,77,"Button/Button_HireDetailSkillButton_4.png"
Text,"HireDetailSkillText_5","스킬 4",947,460,53,35,"Text/Text_HireDetailSkillText_5.png"
Button,"HireDetailSkillButton_5","",936,441,76,77,"Button/Button_HireDetailSkillButton_5.png"
Text,"DepartLabel","출발",1305,526,109,44,"Text/Text_DepartLabel.png"
Button,"DepartButton","",1292,519,136,71,"Button/Button_DepartButton.png"
Button,"PartySlotButton_0","",1251,123,208,93,"Button/Button_PartySlotButton_0.png"
Button,"PartySlotButton_1","",1251,215,208,93,"Button/Button_PartySlotButton_1.png"
Button,"PartySlotButton_2","",1251,306,208,93,"Button/Button_PartySlotButton_2.png"
Text,"PartyCountText","파티 0/3",1264,73,181,31,"Text/Text_PartyCountText.png"
