id,applies_to,element,x_900,y_415,width_900,height_415,x_norm,y_norm,width_norm,height_norm,x_2340,y_1080,width_2340,height_1080
1,EN+KO,DuplicateRoundBar,8,44,70,28,0.0089,0.1060,0.0778,0.0675,21,115,182,73
2,EN+KO,TurnSpeedDelete,106,52,151,13,0.1178,0.1253,0.1678,0.0313,276,135,393,34
3,EN+KO,MoveSuffixDelete,467,108,32,15,0.5189,0.2602,0.0356,0.0361,1214,281,83,39
4,EN+KO,MoveTitleSafe,425,94,52,23,0.4722,0.2265,0.0578,0.0554,1105,245,135,60
5,EN+KO,WarmUpTitleSafe,311,147,61,20,0.3456,0.3542,0.0678,0.0482,809,383,159,52
6,EN+KO,FlyingKickTitleSafe,526,148,58,20,0.5844,0.3566,0.0644,0.0482,1368,385,151,52
7,EN+KO,SnipeTitleSafe,312,253,62,20,0.3467,0.6096,0.0689,0.0482,811,658,161,52
8,EN+KO,HurricaneKickTitleSafe,524,252,62,20,0.5822,0.6072,0.0689,0.0482,1362,656,161,52
9,EN+KO,PiercingVolleyTitleSafe,419,302,62,20,0.4656,0.7277,0.0689,0.0482,1089,786,161,52
12,EN+KO,SummaryLowerBarDeleteOnly,696,166,193,38,0.7733,0.4000,0.2144,0.0916,1810,432,502,99
